species,body_mass_kg,trophic_guild,probability_extinction
Bradypus pygmaeus,3,herbivore,0.78
Cercopithecus erythrogaster,3,herbivore,0.40
Cercopithecus cephus,3,herbivore,0.18
Catopuma badia,3,carnivore,0.69
Cacajao calvus,3,herbivore,0.40
Cercopithecus erythrotis,3,herbivore,0.39
Madoqua saltiana,3,herbivore,0.26
Cercopithecus sclateri,3,herbivore,0.53
Atilax paludinosus,3,carnivore,0.23
Prionailurus bengalensis,3,carnivore,0.22
Conepatus leuconotus,3,insectivore,0.26
Dasyurus maculatus,3,carnivore,0.40
Leopardus wiedii,3,carnivore,0.33
Chrotogale owstoni,3,insectivore,0.65
Marmota menzbieri,3,herbivore,0.48
Marmota broweri,3,herbivore,0.23
Vulpes rueppellii,3,carnivore,0.24
Dasypus yepesi,3,insectivore,0.40
Coendou quichua,3,herbivore,0.38
Cercopithecus petaurista,3,herbivore,0.18
Galictis vittata,3,carnivore,0.24
Paradoxurus hermaphroditus,3,omnivore,0.21
Dendrohyrax dorsalis,3,herbivore,0.25
Tachyglossus aculeatus,3,insectivore,0.16
Pedetes surdaster,3,herbivore,0.23
Hystrix pumila,3,herbivore,0.50
Diplogale hosei,3,insectivore,0.46
Cacajao hosomi,3,herbivore,0.41
Trichosurus caninus,3,herbivore,0.22
Cercopithecus dryas,3,herbivore,0.54
Lepus timidus,3,herbivore,0.25
Setonix brachyurus,3,herbivore,0.52
